Year,Model,Engine,Body,VIN,Set Date,City,Link
2003,530iA,3.0L L6 DOHC 24V,Sedan/Saloon,WBADT63423CK29581,7/7/2023,Moss Landing,https://www.picknpull.com/check-inventory/vehicle-details/WBADT63423CK29581
2003,530iA,3.0L L6 DOHC 24V,Sedan/Saloon,WBADT63453CK44625,6/6/2023,Moss Landing,https://www.picknpull.com/check-inventory/vehicle-details/WBADT63453CK44625
2003,530iA,3.0L L6 DOHC 24V,Sedan/Saloon,WBADT63493CK35054,7/7/2023,Newark,https://www.picknpull.com/check-inventory/vehicle-details/WBADT63493CK35054
2003,530iA,3.0L L6 DOHC 24V,Sedan/Saloon,WBADT63483CK37734,4/29/2023,Newark,https://www.picknpull.com/check-inventory/vehicle-details/WBADT63483CK37734
2001,530i,3.0L L6 DOHC 24V,Sedan/Saloon,WBADT63411CF10397,6/24/2023,Newark,https://www.picknpull.com/check-inventory/vehicle-details/WBADT63411CF10397
2003,530iA,3.0L L6 DOHC 24V,Sedan/Saloon,WBADT63443CK43952,4/20/2023,Richmond,https://www.picknpull.com/check-inventory/vehicle-details/WBADT63443CK43952
2001,530i,3.0L L6 DOHC 24V,Sedan/Saloon,WBADT63421CF02728,6/20/2023,Richmond,https://www.picknpull.com/check-inventory/vehicle-details/WBADT63421CF02728
2003,530iA,3.0L L6 DOHC 24V,Sedan/Saloon,WBADT63403CK35878,1/3/2023,Windsor,https://www.picknpull.com/check-inventory/vehicle-details/WBADT63403CK35878
2003,530iA,3.0L L6 DOHC 24V,Sedan/Saloon,WBADT63443CK38024,12/5/2022,Windsor,https://www.picknpull.com/check-inventory/vehicle-details/WBADT63443CK38024
2001,530i,3.0L L6 DOHC 24V,Sedan/Saloon,WBADT63431CF11762,6/14/2023,Windsor,https://www.picknpull.com/check-inventory/vehicle-details/WBADT63431CF11762
2001,530i,3.0L L6 DOHC 24V,Sedan/Saloon,WBADT63471CF01980,6/6/2023,Salinas,https://www.picknpull.com/check-inventory/vehicle-details/WBADT63471CF01980
2004,530i,3.0L L6 DOHC 24V,Sedan/Saloon,WBANA73524B812152,7/14/2023,Fairfield,https://www.picknpull.com/check-inventory/vehicle-details/WBANA73524B812152
2004,530i,3.0L L6 DOHC 24V,Sedan/Saloon,WBANA73544B063709,7/7/2023,Fairfield,https://www.picknpull.com/check-inventory/vehicle-details/WBANA73544B063709
2004,530i,3.0L L6 DOHC 24V,Sedan/Saloon,WBANA73524B059156,5/30/2023,American Canyon,https://www.picknpull.com/check-inventory/vehicle-details/WBANA73524B059156
2004,530i,3.0L L6 DOHC 24V,Sedan/Saloon,WBANA73504B061746,7/11/2023,San Jose,https://www.picknpull.com/check-inventory/vehicle-details/WBANA73504B061746
2005,530i,3.0L L6 DOHC 24V,Wagon,WBANA73535CR57051,7/10/2023,Salinas,https://www.picknpull.com/check-inventory/vehicle-details/WBANA73535CR57051
2005,530i,3.0L L6 DOHC 24V,Wagon,WBANA73545CR58497,6/21/2023,Moss Landing,https://www.picknpull.com/check-inventory/vehicle-details/WBANA73545CR58497
2003,530iA,3.0L L6 DOHC 24V,Sedan/Saloon,WBADT63423CK29581,7/7/2023,Moss Landing,https://www.picknpull.com/check-inventory/vehicle-details/WBADT63423CK29581
2003,530iA,3.0L L6 DOHC 24V,Sedan/Saloon,WBADT63453CK44625,6/6/2023,Moss Landing,https://www.picknpull.com/check-inventory/vehicle-details/WBADT63453CK44625
2003,530iA,3.0L L6 DOHC 24V,Sedan/Saloon,WBADT63493CK35054,7/7/2023,Newark,https://www.picknpull.com/check-inventory/vehicle-details/WBADT63493CK35054
2003,530iA,3.0L L6 DOHC 24V,Sedan/Saloon,WBADT63483CK37734,4/29/2023,Newark,https://www.picknpull.com/check-inventory/vehicle-details/WBADT63483CK37734
2005,530i,3.0L L6 DOHC 24V,Wagon,WBANA73505CR58674,4/21/2023,Richmond,https://www.picknpull.com/check-inventory/vehicle-details/WBANA73505CR58674
2003,530iA,3.0L L6 DOHC 24V,Sedan/Saloon,WBADT63443CK43952,4/20/2023,Richmond,https://www.picknpull.com/check-inventory/vehicle-details/WBADT63443CK43952
2005,530i,3.0L L6 DOHC 24V,Wagon,WBANA73535CR57578,4/17/2023,Windsor,https://www.picknpull.com/check-inventory/vehicle-details/WBANA73535CR57578
2003,530iA,3.0L L6 DOHC 24V,Sedan/Saloon,WBADT63403CK35878,1/3/2023,Windsor,https://www.picknpull.com/check-inventory/vehicle-details/WBADT63403CK35878
2003,530iA,3.0L L6 DOHC 24V,Sedan/Saloon,WBADT63443CK38024,12/5/2022,Windsor,https://www.picknpull.com/check-inventory/vehicle-details/WBADT63443CK38024
2003,530iA,3.0L L6 DOHC 24V,Sedan/Saloon,WBADT63453CK38078,6/13/2023,Antelope,https://www.picknpull.com/check-inventory/vehicle-details/WBADT63453CK38078
